"ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G513RC-HN061W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)","[['Sales Package', 'Laptop, Power Adapter, Warranty Documents, User Manual'], ['Model Number', 'G513RC-HN061W'], ['Part Number', '90NR08A5-M00330'], ['Model Name', 'G513RC-HN061W'], ['Series', 'ROG Strix G15'], ['Color', 'Eclipse Gray'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Cell', '4 Cell'], ['MS Office Provided', 'No']]"
"MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6550M/144 Hz) Bravo 15 B7ED-012IN Gaming Laptop  (15.6 inch, Black, 2.35 Kg)",[]
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGN93HN/A'], ['Part Number', 'MGN93HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]"
"ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G513RC-HN061W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)","[['Sales Package', 'Laptop, Power Adapter, Warranty Documents, User Manual'], ['Model Number', 'G513RC-HN061W'], ['Part Number', '90NR08A5-M00330'], ['Model Name', 'G513RC-HN061W'], ['Series', 'ROG Strix G15'], ['Color', 'Eclipse Gray'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Cell', '4 Cell'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4.8', '4']","['₹77,990']","['₹1,17,990']",['33% off'],"['403 Ratings & 47 Reviews', '(403)', '(31)', '(325)']"
"MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6550M/144 Hz) Bravo 15 B7ED-012IN Gaming Laptop  (15.6 inch, Black, 2.35 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'Bravo 15 B7ED-012IN'], ['Part Number', '9S7-158P11-012'], ['Model Name', 'Bravo 15 B7ED-012IN'], ['Series', 'Bravo 15'], ['Color', 'Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['MS Office Provided', 'No']]","['4.6', '4.6', '4.2']","['₹49,990']","['₹67,990']",['26% off'],"['5 Ratings & 1 Reviews', '(5)', '(948)']"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A  (13.3 inch, Silver, 1.29 kg)",[],"['4.7', '4.7', '4', '4.6']","['₹70,990']","['₹99,900']",['28% off'],"['12,453 Ratings & 1,045 Reviews', '(12,453)', '(73)', '(2,975)']"
"APPLE 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A  (13.3 inch, Gold, 1.29 kg)","[['Sales Package', 'MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents'], ['Model Number', 'MGND3HN/A'], ['Part Number', 'MGND3HN/A'], ['Series', '2020 Macbook Air'], ['Color', 'Gold'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 15 Hours'], ['Power Supply', '30 W AC Adapter'], ['MS Office Provided', 'No']]","['4.7', '4.7', '4.3', '4.6']","['₹70,990']","['₹99,900']",['28% off'],"['12,453 Ratings & 1,045 Reviews', '(12,453)', '(384)', '(2,975)']"
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","[['Sales Package', 'Laptop, Battery, Adapter, Cables and User Manuals'], ['Model Number', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Part Number', '90NB0TY2-M00JK0 | 90NB0TY2-M047X0 | 90NB0TY6-M03EL0'], ['Model Name', 'X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS'], ['Series', 'Vivobook 15'], ['Color', 'Transparent Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '4', '4']","['₹29,990']","['₹49,990']",['40% off'],"['7,186 Ratings & 642 Reviews', '(7,186)', '(68)', '(3,161)']"
"SAMSUNG Galaxy Book2 Pro EVO AMOLED Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) NP930XED-KB3IN Thin and Light Laptop  (13.3 Inch, Silver, 0.87 Kg, With MS Office)",[],"['4.5', '4.5', '4', '4.1']","['₹64,990']","['₹1,29,990']",['50% off'],"['925 Ratings & 145 Reviews', '(925)', '(8)', '(304)']"
"CHUWI Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop  (14 inch, Grey, 1.40 kg)","[['Sales Package', 'Laptop, Charger, User Guide Manual'], ['Model Number', 'CoreBook X Grey'], ['Part Number', 'CWI575'], ['Model Name', 'CoreBook X'], ['Color', 'Grey'], ['Type', 'Laptop'], ['Suitable For', 'Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business'], ['Battery Backup', 'Up To 8 Hours'], ['Power Supply', '65 W AC Adapter'], ['MS Office Provided', 'No'], ['Inbuilt 4G LTE', 'No'], ['Stylus Included', 'No']]","['4.1', '4.1', '3.9', '4.1']","['₹24,990']","['₹49,990']",['50% off'],"['840 Ratings & 153 Reviews', '(840)', '(2,500)', '(256)']"
"Lenovo Yoga Slim 6 Intel Evo Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)",[],"['4.2', '4.2', '4.1', '4.4']","['₹65,190']","['₹78,590']",['17% off'],"['639 Ratings & 99 Reviews', '(639)', '(241)', '(31,570)']"
"ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY542WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'S3402ZA-LY542WS'], ['Part Number', '90NB0WE2-M00P50'], ['Model Name', 'S3402ZA-LY542WS'], ['Series', 'Vivobook S 14 Intel EVO H-Series'], ['Color', 'Indie Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4.4']","['₹59,990']","['₹86,990']",['31% off'],"['1,513 Ratings & 168 Reviews', '(1,513)', '(3,867)']"
"ASUS Vivobook 15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",[],"['4.3', '4.3', '4', '4']","['₹39,990']","['₹69,990']",['42% off'],"['6,912 Ratings & 507 Reviews', '(6,912)', '(68)', '(2,579)']"
